terme,coefficient
nul,3.962554852233228
inadmissible,3.1463701811862848
désagréable,3.1002438180755916
d'opérateur,3.030120943353934
déçu,2.7854409567134866
disant,2.544763313642307
semaines,2.519674531201198
résilier,2.4305265973954326
paye,2.4301259738607937
payer,2.3323343885229177
courrier,2.3296049747943632
ans,2.2969108991331346
perdu,2.272341975151557
clients,2.237153694616736
solution,2.2301065173491668
factures,2.069488391397559
abonnements,2.0338088579024727
impossible,2.026296690127473
partir,2.0229097904614246
manque,2.020290361422527
réponse,2.0189569636367737
déçue,1.9962193340057928
perdre,1.9240776878272168
qu'elle,1.9031510530118643
contrat,1.8959287276033934
remboursement,1.838415930891172
matériel,1.7989639177313985
opérateur,1.7946064551552756
rendez,1.7130771046287865
d'internet,1.7121752719138632
