terme,coefficient
top,-5.051435872073941
parfait,-4.920473934952389
rapide,-4.551245346935246
efficace,-3.8384110666624096
remercie,-3.433253652572282
rapidité,-3.406636905179938
super,-3.3652347894047936
excellent,-3.2828507634220925
agréable,-3.17886931070084
patience,-3.1670493886825537
julien,-3.051604712236522
professionnelle,-2.9866851121226077
l'écoute,-2.964040487780139
efficacité,-2.915555249152698
impeccable,-2.8171521209200248
l'équipe,-2.795804768470449
gentille,-2.7203732690020668
parfaite,-2.63590414180364
sympa,-2.6330234374977826
excellente,-2.612527607100049
patiente,-2.577797740847061
sympathique,-2.55691264561864
ras,-2.5429060911454084
réactivité,-2.5405880657459234
bon,-2.520046733468141
compétente,-2.513880655929827
rapidement,-2.4724917544243707
réactive,-2.4677617147830837
gentil,-2.424689934460966
j'espère,-2.341959123185009
