offre,csat_moyen,csat_median,nb_commentaires
15: Freebox Crystal (NEW) | 24.99€,4.395833333333333,5.0,48
27: Freebox Delta avec Apple TV 4K | 49.99€,4.333333333333333,5.0,9
25: Freebox Pop avec TV by CANAL | 44.99€,4.256704980842912,5.0,261
11: Freebox Révolution avec TV by CANAL | 39.99€,4.2370286362347604,5.0,3527
08: Freebox Révolution | 29.99€,4.229818780889621,5.0,1214
31: Freebox Ultra avec Player TV Free 4K | 59.99€,4.222087378640777,5.0,1648
14: Freebox Révolution avec TV by CANAL | 44.99€,4.2062193126022915,5.0,611
09: Freebox Révolution Light | 29.99€,4.183554376657825,5.0,1885
26: Freebox Delta avec Player TV Free 4K | 49.99€,4.181571815718157,5.0,1476
01: Freebox | 29.99€,4.175572519083969,5.0,262
29: Freebox Pop S | 29.99€,4.160349854227405,5.0,343
28: Série Spéciale Freebox Pop S | 23.99€,4.153846153846154,5.0,455
24: Freebox Pop | 39.99€,4.144297416509136,5.0,6348
22: Freebox Delta avec Player TV Free Devialet | 49.99€,4.130346232179226,5.0,491
10: Freebox mini 4K | 29.99€,4.108743570903747,5.0,1361
13: Freebox mini 4K (NEW) | 34.99€,4.082959641255606,5.0,446
40: Freebox Ultra Essentiel sans Player TV | 49.99€,4.0588235294117645,5.0,34
SANS PRODUIT,4.0561385099685205,5.0,17154
41: Freebox Ultra Essentiel avec Player TV Free 4K | 49.99€,4.0256410256410255,5.0,507
16: Freebox IPADSL | 35.98€,4.0,5.0,25
19: Freebox One | 39.99€,3.9583333333333335,5.0,48
23: Freebox Delta S | 39.99€,3.9365079365079363,5.0,63
105: Box 5G | 39.99€,3.86,5.0,50
30: Freebox Ultra sans Player TV | 59.99€,3.6875,5.0,32
32: Freebox Ultra avec Apple TV 4K | 59.99€,3.2,4.0,5
