topic_id,rank,word,weight
0,1,réponse,441.82323143062325
0,2,demande,301.52369213534064
0,3,remboursement,178.81693388812738
0,4,résiliation,160.96760658917648
0,5,ligne,111.11824138247326
0,6,reçu,101.48766489045724
0,7,courrier,93.45030579637823
0,8,message,91.29685132040419
0,9,frais,87.48284848497764
0,10,situation,85.07516673875857
0,11,temps,76.81533610691123
0,12,retour,76.34859905148575
1,1,commercial,375.1243762630614
1,2,geste,330.1227639598255
1,3,abonnement,277.26385361970955
1,4,box,250.33345745490965
1,5,ans,230.07323728455458
1,6,clients,199.95876690859794
1,7,offre,155.69238973086078
1,8,freebox,150.78898862368155
1,9,demande,138.6737233057241
1,10,forfait,138.02993376854118
1,11,mobile,137.14827802178334
1,12,résilier,133.8218369099231
2,1,problème,1092.7932035679225
2,2,réseau,356.68443557566576
2,3,résolu,319.12462975814685
2,4,solution,286.62472306913514
2,5,internet,164.13441801645428
2,6,résoudre,133.12374461730695
2,7,connexion,121.13064311603284
2,8,téléphone,109.55572896208201
2,9,semaines,94.43965944448806
2,10,fonctionne,92.48946240939844
2,11,d'opérateur,86.98243018682365
2,12,changer,84.06997717136917
3,1,demande,236.23783102346988
3,2,téléphone,226.91252469300306
3,3,impossible,118.36873927662678
3,4,problème,115.87442821078979
3,5,joindre,109.56260126259885
3,6,réponse,99.07042841623613
3,7,conseillers,95.12825447626311
3,8,réclamation,80.63663201401721
3,9,solution,79.41834894290335
3,10,pouvoir,69.82570726988236
3,11,courrier,67.9763136115286
3,12,facture,62.7942988945546
4,1,forfait,316.37291396854823
4,2,déçu,181.37511778364566
4,3,box,179.45279165614036
4,4,changer,168.08883870245347
4,5,internet,166.81974431281654
4,6,mobile,122.94431343414095
4,7,euros,110.24186393526875
4,8,peux,100.41553926939596
4,9,payer,99.24076993237524
4,10,téléphone,91.67752921363731
4,11,hors,84.20750230164799
4,12,pense,83.37089190718308
5,1,problème,183.70443858421638
5,2,demande,151.25022818908064
5,3,prise,106.55469377033076
5,4,notre,93.83467895224143
5,5,conseillers,92.85722553264785
5,6,mail,90.90284381078426
5,7,appel,88.17470248052307
5,8,chaque,87.66538363205136
5,9,nouvelle,82.08597664036509
5,10,passe,77.73256080579924
5,11,compte,77.44764271728825
5,12,j'attends,73.71436018886652
6,1,ligne,259.7772616323631
6,2,téléphone,224.1159165118919
6,3,carte,218.21714234588418
6,4,sim,200.97233614343943
6,5,demande,166.15322199601067
6,6,boutique,144.86485439704845
6,7,résilier,122.04464428045812
6,8,conseillère,109.16660233469223
6,9,nom,107.12448911847108
6,10,contrat,101.45027718748125
6,11,lui,101.08349555268079
6,12,compte,97.72012182994811
7,1,technicien,443.4929698169909
7,2,fibre,318.6669039953713
7,3,trop,227.46334871526716
7,4,rendez,182.21355379429966
7,5,nul,162.1244766531567
7,6,internet,152.70231424768684
7,7,rdv,136.65466152841472
7,8,panne,134.0796445165795
7,9,long,126.12455744477174
7,10,connexion,123.04275139294135
7,11,délai,110.59404259798536
7,12,box,100.14240687894474
