terme,score_tfidf_moyen
problème,0.09770593950459376
demande,0.0751037006958341
téléphone,0.06241752948456802
réponse,0.059729971380395895
box,0.04888865487087832
internet,0.04329819876884216
technicien,0.039510833031590364
solution,0.037189963716092206
ligne,0.03702606543011587
forfait,0.03561945235556764
changer,0.03534003014265586
réseau,0.0335319726768596
fibre,0.03192417917261699
résolu,0.03078879341602721
abonnement,0.030109644040159835
compte,0.029558467627525883
clients,0.028781873247742708
trop,0.02827045522463427
déçu,0.02788322715849426
connexion,0.02781896511547911
commercial,0.02679177009398335
résiliation,0.026555165972001814
ans,0.02604508842603272
d'un,0.02558281991450461
mobile,0.025329408460471766
temps,0.025044354775420684
résilier,0.024623094040202225
suite,0.024557214996625956
geste,0.02355427655626709
carte,0.02267618842221677
