bigram,frequence
geste commercial,280
carte sim,198
problème résolu,185
changer d'opérateur,132
résoudre problème,88
trop long,66
frais résiliation,60
connexion internet,57
hors forfait,56
demande remboursement,51
prise compte,51
régler problème,50
changer opérateur,49
prise charge,46
technicien venu,45
résilier abonnement,44
forfait mobile,44
rue paix,43
mot passe,42
problème réseau,41
trouver solution,40
boulevard voltaire,39
marie dubois,39
solution proposée,36
avenue champs,36
d'un technicien,35
demande résiliation,35
impossible joindre,34
example com,34
résilier contrat,33
