trigram,frequence
demande geste commercial,21
exemple example com,19
pense changer d'opérateur,18
nouvelle carte sim,18
domaine example com,15
cordialement marie dubois,14
numero rue paix,14
example com numero,12
délai trop long,10
aller voir ailleurs,10
contact exemple example,10
reçu carte sim,10
numero boulevard voltaire,10
payer frais résiliation,9
numero avenue champs,9
demande prise compte,9
geste commercial serait,8
j'attends geste commercial,8
prise compte demande,8
avenue champs paris,8
contact domaine example,8
d'un geste commercial,7
dois envoyer courrier,7
remboursement frais résiliation,7
pense changer opérateur,7
rue paix paris,7
changer date prélèvement,7
j'envisage changer d'opérateur,7
demande remboursement frais,7
cordialement élodie martin,7
